,word,count,frequence
0,and,1918,0.0333785806272
1,,1836,0.03195155059
2,was,1738,0.0302460756674
3,the,1360,0.0236678152518
4,a,1180,0.020535310292
5,of,1006,0.0175072221642
6,to,973,0.0169329295882
7,in,960,0.0167066931189
8,on,688,0.0119731300686
9,No,644,0.0112074066339
10,with,584,0.010163238314
11,at,518,0.00901465316209
12,He,497,0.00864919425011
13,no,459,0.00798788764749
14,after,416,0.0072395670182
15,he,411,0.00715255299154
16,by,388,0.0067522884689
17,EMS,386,0.00671748285824
18,as,382,0.00664787163691
19,from,370,0.00643903797292
20,car,337,0.00586474539696
21,trauma,336,0.00584734259163
22,Patient,332,0.0057777313703
23,for,328,0.00570812014897
24,his,325,0.00565591173297
25,but,310,0.00539486965299
26,Pt,310,0.00539486965299
27,GCS,303,0.00527305001566
28,when,303,0.00527305001566
29,left,278,0.00483797988236
30,pain.,275,0.00478577146636
31,head,265,0.00461174341304
32,pain,263,0.00457693780237
33,had,254,0.00442031255438
34,LOC.,251,0.00436810413839
35,is,246,0.00428109011173
36,She,245,0.00426368730639
37,level,242,0.0042114788904
38,right,241,0.00419407608506
39,not,229,0.00398524242108
40,patient,229,0.00398524242108
41,an,228,0.00396783961575
42,that,219,0.00381121436776
43,seat,218,0.00379381156242
44,back,214,0.00372420034109
45,her,213,0.00370679753576
46,passenger,211,0.0036719919251
47,2,210,0.00365458911977
48,hit,209,0.00363718631443
49,or,206,0.00358497789844
50,she,206,0.00358497789844
51,presents,193,0.00335874142912
52,LOC,185,0.00321951898646
53,presenting,182,0.00316731057046
54,CT,181,0.00314990776513
55,pt,180,0.0031325049598
56,brought,179,0.00311510215447
57,fell,172,0.00299328251714
58,male,171,0.00297587971181
59,were,170,0.00295847690648
60,has,170,0.00295847690648
61,healthy,160,0.00278444885316
62,restrained,159,0.00276704604782
63,here,158,0.00274964324249
64,OSH,150,0.00261042079983
65,noted,150,0.00261042079983
66,over,149,0.0025930179945
67,MVC.,145,0.00252340677317
68,15,144,0.00250600396784
69,being,133,0.00231457310919
70,about,131,0.00227976749852
71,ATV,130,0.00226236469319
72,"LOC,",128,0.00222755908252
73,s/p,128,0.00222755908252
74,up,126,0.00219275347186
75,transferred,125,0.00217535066653
76,M,122,0.00212314225053
77,other,120,0.00208833663987
78,female,120,0.00208833663987
79,accident.,113,0.00196651700254
80,scene,113,0.00196651700254
81,front,113,0.00196651700254
82,side,112,0.00194911419721
83,have,111,0.00193171139188
84,then,111,0.00193171139188
85,vomiting.,111,0.00193171139188
86,ED,105,0.00182729455988
87,into,105,0.00182729455988
88,reportedly,104,0.00180989175455
89,neck,103,0.00179248894922
90,vehicle,101,0.00175768333855
91,further,101,0.00175768333855
92,outside,100,0.00174028053322
93,who,99,0.00172287772789
94,him,98,0.00170547492256
95,been,96,0.00167066931189
96,Unknown,95,0.00165326650656
97,where,94,0.00163586370123
98,scene.,90,0.0015662524799
99,showed,89,0.00154884967457
100,out,87,0.0015140440639
101,abdominal,85,0.00147923845324
102,going,85,0.00147923845324
103,fall,85,0.00147923845324
104,this,84,0.00146183564791
105,riding,83,0.00144443284257
106,struck,83,0.00144443284257
107,complaining,83,0.00144443284257
108,R,82,0.00142703003724
109,given,81,0.00140962723191
110,F,81,0.00140962723191
111,The,79,0.00137482162125
112,Was,79,0.00137482162125
113,en,79,0.00137482162125
114,MVC,76,0.00132261320525
115,per,76,0.00132261320525
116,found,76,0.00132261320525
117,reports,75,0.00130521039992
118,involved,75,0.00130521039992
119,did,74,0.00128780759458
120,Per,74,0.00128780759458
121,unknown,73,0.00127040478925
